0.000000000000000000e+00,0.000000000000000000e+00
2.083333333333333218e-02,0.000000000000000000e+00
4.166666666666666435e-02,1.030045011613706750e-05
6.250000000000000000e-02,4.423740016216110791e-05
8.333333333333332871e-02,1.008796471466160338e-04
1.041666666666666574e-01,1.907750254110540276e-04
1.250000000000000000e-01,3.272931985571136070e-04
1.458333333333333148e-01,4.955085182236559091e-04
1.666666666666666574e-01,7.058231571852052353e-04
1.875000000000000000e-01,9.745902022613089433e-04
2.083333333333333148e-01,1.265682043654181143e-03
2.291666666666666574e-01,1.598354445973538878e-03
2.500000000000000000e-01,1.994617443931477260e-03
2.708333333333333148e-01,2.387895671717144268e-03
2.916666666666666297e-01,2.814562725023666591e-03
3.125000000000000000e-01,3.316425584831065101e-03
3.333333333333333148e-01,3.770882449152978405e-03
3.541666666666666297e-01,4.241671624387521530e-03
3.750000000000000000e-01,4.827360072722611077e-03
3.958333333333333148e-01,5.290935452269700072e-03
4.166666666666666297e-01,5.737364165691281881e-03
4.375000000000000000e-01,6.401101478041233521e-03
4.583333333333333148e-01,6.827123057433963013e-03
4.791666666666666297e-01,7.157400705568801695e-03
5.000000000000000000e-01,7.914732486909225456e-03
5.208333333333332593e-01,8.266826610414900606e-03
5.416666666666666297e-01,8.370320184553100770e-03
5.625000000000000000e-01,9.298178858760301410e-03
5.833333333333332593e-01,9.527410690542810479e-03
6.041666666666666297e-01,9.219789333080883123e-03
6.250000000000000000e-01,1.053750630870187860e-02
6.458333333333332593e-01,1.062558144144742055e-02
6.666666666666666297e-01,9.521914492790113649e-03
6.875000000000000000e-01,1.164916000507793155e-02
7.083333333333332593e-01,1.171862341245044972e-02
7.291666666666666297e-01,9.060979483543687985e-03
7.500000000000000000e-01,1.273068438562991421e-02
7.708333333333332593e-01,1.389885566321027478e-02
7.916666666666666297e-01,7.671018751602574383e-03
8.125000000000000000e-01,6.333267003297503826e-03
8.333333333333332593e-01,1.404942323058738091e-02
8.541666666666666297e-01,1.804723752404768441e-02
8.750000000000000000e-01,1.081860303655361732e-02
8.958333333333332593e-01,5.949586670170457087e-03
9.166666666666666297e-01,1.244255476318627783e-02
9.375000000000000000e-01,1.674934352239972057e-02
9.583333333333332593e-01,9.826763395085003419e-03
9.791666666666666297e-01,5.270598924557335675e-03
1.000000000000000000e+00,1.207221509152158617e-02
1.020833333333333259e+00,1.667890813545965314e-02
1.041666666666666519e+00,1.004664593175026363e-02
1.062500000000000000e+00,5.777198777250791388e-03
1.083333333333333259e+00,1.285444863787147014e-02
1.104166666666666519e+00,1.772622258034559778e-02
1.125000000000000000e+00,1.135080249824872711e-02
1.145833333333333259e+00,7.324191791189132300e-03
1.166666666666666519e+00,1.462962951605032910e-02
1.187500000000000000e+00,1.972232575693774401e-02
1.208333333333333259e+00,1.356319205034350536e-02
1.229166666666666519e+00,9.737450172179126784e-03
1.250000000000000000e+00,1.723476757943621235e-02
1.270833333333333259e+00,2.251797537219893744e-02
1.291666666666666519e+00,1.655128678470800876e-02
1.312500000000000000e+00,1.290963273922552182e-02
1.333333333333333259e+00,1.850478377541983632e-02
1.354166666666666519e+00,2.049961260883579120e-02
1.375000000000000000e+00,1.125344153630304482e-02
1.395833333333333259e+00,4.334251915548393078e-03
1.416666666666666519e+00,8.739986478726364041e-03
1.437500000000000000e+00,1.094440813046470597e-02
1.458333333333333259e+00,1.907493553466143264e-03
1.479166666666666519e+00,-4.811718898888471020e-03
1.500000000000000000e+00,-2.212675228287964047e-04
1.520833333333333259e+00,2.158905421158184307e-03
1.541666666666666519e+00,-4.316671992892765625e-03
1.562500000000000000e+00,-6.894525497570328128e-03
1.583333333333333259e+00,1.814348841205433134e-03
1.604166666666666519e+00,8.288049574464526753e-03
1.625000000000000000e+00,3.465898654871746917e-03
1.645833333333333259e+00,9.086800481314647772e-04
1.666666666666666519e+00,9.621507138494252154e-03
1.687500000000000000e+00,1.607641331046632052e-02
1.708333333333333259e+00,1.123110831363416558e-02
1.729166666666666519e+00,8.660952354494004871e-03
1.750000000000000000e+00,1.713087384917801742e-02
1.770833333333333259e+00,2.317983727031708990e-02
1.791666666666666519e+00,1.794921310156849178e-02
1.812500000000000000e+00,1.501413698551798924e-02
1.833333333333333259e+00,2.064389130438360961e-02
1.854166666666666519e+00,2.220300955083284386e-02
1.875000000000000000e+00,1.250096026251620168e-02
1.895833333333333259e+00,5.125158420633784198e-03
1.916666666666666519e+00,9.110331931441398995e-03
1.937500000000000000e+00,1.088483774622114528e-02
1.958333333333333259e+00,2.024903768630571723e-03
1.979166666666666519e+00,-4.080008438687510348e-03
2.000000000000000000e+00,1.162534802823053919e-03
2.020833333333333037e+00,4.186126253653344939e-03
2.041666666666666519e+00,-3.138708588552278564e-03
2.062500000000000000e+00,-7.528674903299995523e-03
2.083333333333333037e+00,-6.063342680807139173e-04
2.104166666666666519e+00,4.075613820378810523e-03
2.125000000000000000e+00,-2.523388260376589320e-03
2.145833333333333037e+00,-6.828276398241624884e-03
2.166666666666666519e+00,1.459257232244672757e-04
2.187500000000000000e+00,4.856710389417821967e-03
2.208333333333333037e+00,-9.201957242780508996e-04
