0.000000000000000000e+00,-2.040902900923658725e-01
2.083333333333333218e-02,-1.227208963043924239e-01
4.166666666666666435e-02,-6.969027025027148270e-02
6.250000000000000000e-02,-3.532856745983180280e-02
8.333333333333332871e-02,-1.325640752666887648e-02
1.041666666666666574e-01,7.454250011769297281e-04
1.250000000000000000e-01,9.487232752538382261e-03
1.458333333333333148e-01,1.474401671851939370e-02
1.666666666666666574e-01,1.768335731016987614e-02
1.875000000000000000e-01,1.943220124460233802e-02
2.083333333333333148e-01,2.023872550028228690e-02
2.291666666666666574e-01,1.999412588483676090e-02
2.500000000000000000e-01,1.978599745857468478e-02
2.708333333333333148e-01,1.892757207954054444e-02
2.916666666666666297e-01,1.837463771243377439e-02
3.125000000000000000e-01,1.731604569834556406e-02
3.333333333333333148e-01,1.662569996062897640e-02
3.541666666666666297e-01,1.561020292098487354e-02
3.750000000000000000e-01,1.498502204724711136e-02
3.958333333333333148e-01,1.417924402827589782e-02
4.166666666666666297e-01,1.353424649875397019e-02
4.375000000000000000e-01,1.278012175696053958e-02
4.583333333333333148e-01,1.224924359574153243e-02
4.791666666666666297e-01,1.177532179957990234e-02
5.000000000000000000e-01,1.078744725420156467e-02
5.208333333333332593e-01,1.074231414288586046e-02
5.416666666666666297e-01,9.935844126810748633e-03
5.625000000000000000e-01,9.439620179080581222e-03
5.833333333333332593e-01,9.059515212618335020e-03
6.041666666666666297e-01,8.581547870589152985e-03
6.250000000000000000e-01,8.417814815090872427e-03
6.458333333333332593e-01,8.093022351184911076e-03
6.666666666666666297e-01,7.641862790835115410e-03
6.875000000000000000e-01,7.337830955949371792e-03
7.083333333333332593e-01,6.978439782138072534e-03
7.291666666666666297e-01,6.593508092338589560e-03
7.500000000000000000e-01,6.160729918278169855e-03
7.708333333333332593e-01,5.915597609120909831e-03
7.916666666666666297e-01,5.682657641229132105e-03
8.125000000000000000e-01,5.380448176025703043e-03
8.333333333333332593e-01,5.038601056973159888e-03
8.541666666666666297e-01,4.422206734395869344e-03
8.750000000000000000e-01,4.359627759194616495e-03
8.958333333333332593e-01,4.197428694271312759e-03
9.166666666666666297e-01,3.826951825696450326e-03
9.375000000000000000e-01,3.682567976057411849e-03
9.583333333333332593e-01,3.530857866842730067e-03
9.791666666666666297e-01,3.388698353588404533e-03
1.000000000000000000e+00,3.221328574081696976e-03
1.020833333333333259e+00,3.093829746052831689e-03
